assumptions,carrier,method,model,product,region,scenario,sector,unit,variable,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00,2020-01-01 00:00:00,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,2026-01-01 00:00:00,2027-01-01 00:00:00,2028-01-01 00:00:00,2029-01-01 00:00:00,2030-01-01 00:00:00,2031-01-01 00:00:00,2032-01-01 00:00:00,2033-01-01 00:00:00,2034-01-01 00:00:00,2035-01-01 00:00:00,2036-01-01 00:00:00,2037-01-01 00:00:00,2038-01-01 00:00:00,2039-01-01 00:00:00,2040-01-01 00:00:00,2041-01-01 00:00:00,2042-01-01 00:00:00,2043-01-01 00:00:00,2044-01-01 00:00:00,2045-01-01 00:00:00,2046-01-01 00:00:00,2047-01-01 00:00:00,2048-01-01 00:00:00,2049-01-01 00:00:00,2050-01-01 00:00:00,2051-01-01 00:00:00,2052-01-01 00:00:00,2053-01-01 00:00:00,2054-01-01 00:00:00,2055-01-01 00:00:00,2056-01-01 00:00:00,2057-01-01 00:00:00,2058-01-01 00:00:00,2059-01-01 00:00:00,2060-01-01 00:00:00,2061-01-01 00:00:00,2062-01-01 00:00:00,2063-01-01 00:00:00,2064-01-01 00:00:00,2065-01-01 00:00:00,2066-01-01 00:00:00,2067-01-01 00:00:00,2068-01-01 00:00:00,2069-01-01 00:00:00,2070-01-01 00:00:00,2071-01-01 00:00:00,2072-01-01 00:00:00,2073-01-01 00:00:00,2074-01-01 00:00:00,2075-01-01 00:00:00,2076-01-01 00:00:00,2077-01-01 00:00:00,2078-01-01 00:00:00,2079-01-01 00:00:00,2080-01-01 00:00:00,2081-01-01 00:00:00,2082-01-01 00:00:00,2083-01-01 00:00:00,2084-01-01 00:00:00,2085-01-01 00:00:00,2086-01-01 00:00:00,2087-01-01 00:00:00,2088-01-01 00:00:00,2089-01-01 00:00:00,2090-01-01 00:00:00,2091-01-01 00:00:00,2092-01-01 00:00:00,2093-01-01 00:00:00,2094-01-01 00:00:00,2095-01-01 00:00:00,2096-01-01 00:00:00,2097-01-01 00:00:00,2098-01-01 00:00:00,2099-01-01 00:00:00,2100-01-01 00:00:00
high,H2,Production,MESSAGE-GLOBIOM,H2,AUS,SSP2-45,Industrial Sector,H * megametric_ton / a,Emissions|H2|Industrial Sector,0.0019710131428659545,0.0015795801026038747,0.001185793415893323,0.0007918049225523854,0.00039654045058794133,0.0,0.00023348972523275972,0.0004666061985713257,0.0006999870079804469,0.0009336321534601055,0.001168182846001254,0.0014023573878304174,0.0016367962657301363,0.001871499479700401,0.0021071111395499207,0.0023423437498696904,0.005389053392724818,0.008374167696571039,0.011305554201205222,0.014167137065366237,0.016966952818508532,0.019704944255537576,0.022388300925438913,0.025002302341239565,0.02755430766891717,0.030044259703377187,0.034615537631850955,0.0391313604452876,0.04360419999312562,0.04803397958839248,0.052432581420491425,0.05677589255168434,0.061075913459287076,0.06533256745632705,0.06955726115287691,0.07372683192887902,0.08425897066021987,0.09479812105584531,0.10537318634177481,0.1159263792760087,0.12648658387452727,0.13705380013733046,0.14765700818322453,0.15823826698463614,0.16882653745033244,0.17942181958031345,0.20148891426039586,0.22348863697051977,0.24548129000358987,0.2674668733596061,0.2895055924335163,0.3114770170664466,0.33344137202232293,0.35539865730114556,0.37740900076888345,0.39935212732462005,0.4405164423216071,0.48163558698991044,0.5228220307193874,0.5638507109759975,0.6048342209039236,0.6457725605031657,0.6867777038072282,0.7276255789947774,0.7684282838536428,0.8091858183838242,0.8707024159649798,0.932041260539178,0.9933704434770051,1.0546899647784609,1.116167783390426,1.177467954948902,1.2387584648710068,1.3000393131567403,1.3614783527995165,1.4227398513422698,1.499691743182594,1.5765872790555802,1.65363689985088,1.7304195693892814,1.807145882960346,1.8838158405640737,1.9606392650674582,2.0371963563366005,2.113697091638406,2.190141470972874
high,NH3,Production,MESSAGE-GLOBIOM,NH3,AUS,SSP2-45,Industrial Sector,NH3 * megametric_ton / a,Emissions|NH3|Industrial Sector,1.2311467827851136e-06,9.85858072026485e-07,7.394930572967597e-07,4.933979955070304e-07,2.4690030974144386e-07,0.0,1.4522837808961225e-07,2.9015388147538246e-07,4.3517318051735215e-07,5.802862752155216e-07,7.258911215059741e-07,8.711920644909431e-07,1.0165868031321113e-06,1.1620753374294797e-06,1.3080566519207727e-06,1.45373303450494e-06,3.713201906691004e-06,6.353681077218067e-06,9.383169859845402e-06,1.2784313761146376e-05,1.656407151385242e-05,2.072164503117762e-05,2.5269176909532493e-05,3.0181017338025812e-05,3.546827708419653e-05,4.113015806125641e-05,4.838968129376866e-05,5.584178329105102e-05,6.350588224625695e-05,7.138185228393636e-05,7.949201639380258e-05,8.779193057620026e-05,9.630333786989488e-05,0.00010502611239944582,0.00011398489509435954,0.00012313060469497375,0.00014058326471037708,0.0001580134700145576,0.00017546888223073995,0.0001928541165926992,0.00021021689624341674,0.0002275572211829115,0.00024492250678683365,0.0002622178607841071,0.00027949076007014834,0.00029674120464495734,0.0003329024799209531,0.0003688800863603872,0.0004047729413596693,0.00044058104491881834,0.0004764021528194685,0.0005120405213025965,0.0005475941383455915,0.0005830630039484344,0.0006185439444737295,0.0006538430750005703,0.0007202303805244059,0.000786354091517553,0.0008523942845775501,0.0009179900843325053,0.0009833222895567534,0.0010483909002503133,0.0011133731023249705,0.0011779138017803381,0.0012421909067049986,0.0013062044170989709,0.001403706446498013,0.0015006729865366787,0.0015973708043150836,0.0016937998998332279,0.0017902233570473278,0.0018861142718195796,0.001981736464331571,0.002077089934583302,0.00217243481961245,0.002267250109118289,0.0023881573525810795,0.002508796906151879,0.0026294981880554363,0.0027496016284452893,0.0028694373789431506,0.002989005439549012,0.0031086322928904845,0.0032276642403153994,0.0033464284978483405,0.0034649250654892726
high,NH3,Production,MESSAGE-GLOBIOM,NOx,AUS,SSP2-45,Industrial Sector,NOx * megametric_ton / a,Emissions|NOx|Industrial Sector,0.0001241072977909548,9.92314844039071e-05,7.43216080892675e-05,4.951378838973228e-05,2.4739919026643115e-05,0.0,1.4511283523288455e-05,2.8954339280275963e-05,4.3368854682964114e-05,5.7754829731352896e-05,7.215156065946919e-05,8.648037680649829e-05,0.00010078065259923747,0.00011505238803767732,0.00012933456637061191,0.0001435491429076921,0.0003667938826421847,0.0006278511102190743,0.0009275539153227651,0.0012642270093394285,0.0016386000402756915,0.002050635525388124,0.002501579576283052,0.002988930449451614,0.0035138312258735384,0.0040762444228053755,0.00479867879609551,0.005541106303773262,0.006305497817836244,0.007091880371799996,0.007902526064588467,0.008733032233587255,0.009585610617097838,0.010460288248635746,0.011359579576544085,0.012278597535830759,0.014030519183719132,0.015783079955617278,0.01754108401682226,0.019294924787764633,0.02104940468271678,0.022804523701678698,0.02456509301884353,0.026321492036849678,0.0280785301788656,0.02983620744489129,0.03351488358917845,0.037184323573506775,0.04085457731086272,0.04452564480124631,0.048207587111053836,0.051880284336953,0.055553795315879805,0.059228120047834225,0.0629133285231621,0.0665892829906321,0.07348696793992535,0.08038347366512111,0.08729768985190074,0.09419183389815072,0.10108479872030324,0.10797658431835834,0.11488606744614208,0.12177549136525134,0.1286637360602632,0.13555080153117757,0.14597684616824938,0.1563898415356466,0.16681825297621777,0.17726208048996292,0.1877500007145296,0.19822470261043953,0.2087148205795234,0.21922035462178122,0.2297701504338431,0.24030655885826563,0.2535387700627885,0.26678571257662514,0.2800837399878787,0.29336018548009457,0.306651362281624,0.3199572703924672,0.3333144249503084,0.3466498360395307,0.35999997843806697,0.3733648521459166
