variable,sector,scaler_name,scaler_variable_id,scaler_source_id,scaler_sector
PM10,CHE,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Solvents production and application
PM10,ENE,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Energy Sector
PM10,FFF,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Energy Sector
PM10,FOO_PAP,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Agriculture
PM10,IND,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Industrial Sector
PM10,IRO,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Industrial Sector
PM10,MNM,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Agriculture
PM10,NFE,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Industrial Sector
PM10,PRU_SOL,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Solvents production and application
PM10,RCO,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,"Residential, Commercial, Other"
PM10,REF_TRF,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Energy Sector
PM10,SWD_INC,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Waste
PM10,SWD_LDF,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Waste
PM10,TNR_Other,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Transportation Sector
PM10,TNR_Ship,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,International Shipping
PM10,TRO_RES,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Transportation Sector
PM10,TRO_noRES,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Transportation Sector
PM10,WWT,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Waste
VOC,AGS,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Agriculture
VOC,AWB,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Agriculture
VOC,CHE,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Solvents production and application
VOC,ENE,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Energy Sector
VOC,FFF,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Energy Sector
VOC,FOO_PAP,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Agriculture
VOC,IND,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Industrial Sector
VOC,IRO,relative_change,BC-em-anthro,IAMC-IMAGE-ssp126-1-1,Industrial Sector
