id,name,lat,lon,state
F-TAS,Bell Bay,-41.069,146.865,TAS
F-WA,Pilbara,-21.773,117.015,WA
F-QLD,Gladstone,-23.675,150.443,QLD
F-SA,Eye Peninsula,-33.545,136.074,SA
F-NSW,Hunter valley,-32.747,151.311,NSW
F-NT,Darwin,-12.416,130.951,NT
F-VIC,La Trobe Valley,-38.21420584,146.5124112,VIC
